FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,Date GMT,ID
Autistica - Work: Self Confidence,120,22222222,Completely confident,A lot,A lot,Completely confident,A lot,,A lot,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Completely confident,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,Completely confident,Completely confident,Completely confident,Completely confident,A lot,Moderate,Completely confident,A little,A lot,29th October 2019 11:54 am,29th October 2019 11:54 am,573
Autistica - Work: Self Confidence,120,22222222,Moderate,Not confident at all,A little,Not confident at all,Not confident at all,Moderate,A little,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,A little,Not confident at all,A lot,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,Moderate,A little,Not confident at all,Moderate,A little,29th October 2019 11:53 am,29th October 2019 11:53 am,572
Autistica - Work: Self Confidence,120,11111111,A little,A lot,Moderate,A lot,Completely confident,A little,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,Completely confident,Completely confident,9th September 2019 6:27 pm,9th September 2019 6:27 pm,553
Autistica - Work: Self Confidence,120,12077101,Not confident at all,A lot,Completely confident,Moderate,A little,A lot,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,A little,A little,22nd August 2019 9:16 am,22nd August 2019 9:16 am,533
Autistica - Work: Self Confidence,120,38961843,Completely confident,A lot,A lot,Completely confident,Not confident at all,Moderate,A little,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,Moderate,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Not confident at all,Not confident at all,A lot,20th August 2019 9:16 am,20th August 2019 9:16 am,528
Autistica - Work: Self Confidence,120,67611589,Moderate,Not confident at all,A little,Not confident at all,Completely confident,A little,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,Completely confident,A little,18th August 2019 9:16 am,18th August 2019 9:16 am,523
Autistica - Work: Self Confidence,120,32500162,A little,A lot,Moderate,A lot,A little,A lot,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,A little,Completely confident,15th August 2019 9:16 am,15th August 2019 9:16 am,518
Autistica - Work: Self Confidence,120,90705766,Not confident at all,A lot,Completely confident,Moderate,Not confident at all,Moderate,A little,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Not confident at all,A little,A little,12th August 2019 9:16 am,12th August 2019 9:16 am,513
Autistica - Work: Self Confidence,120,46465154,Completely confident,A lot,A lot,Completely confident,Completely confident,A little,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,10th August 2019 9:16 am,10th August 2019 9:16 am,508
Autistica - Work: Self Confidence,120,22222222,Moderate,Not confident at all,A little,Not confident at all,A little,A lot,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,Completely confident,A little,9th August 2019 9:16 am,9th August 2019 9:16 am,503
